"﻿PERIODO";"SUBPERIODO";"CÓDIGO CURSO";"CRN";"LOGIN";"NOTA";"SEMESTRE";"PROM ACUMULADO";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18566";"4,33";"11,56";"4,21";
"201810";"1";"COD926";"CRN-17861";"Login estudiante12257";"3,77";"11,59";"3,73";
"201810";"1";"COD926";"CRN-17861";"Login estudiante7256";"3,64";"12,82";"4,04";
"201810";"1";"COD926";"CRN-17861";"Login estudiante4403";"4,5";"11,4";"4,23";
"201810";"1";"COD926";"CRN-17861";"Login estudiante6942";"4,17";"10,72";"4,25";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18567";"3,58";"6,5";"3,26";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18568";"3,46";"8,47";"3,66";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18569";"4,12";"9,45";"3,9";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18570";"3,52";"8,35";"3,9";
"201810";"1";"COD926";"CRN-17861";"Login estudiante8768";"4,21";"7,67";"3,81";
"201810";"1";"COD926";"CRN-17861";"Login estudiante12294";"3,98";"6,92";"3,72";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18571";"3,9";"6,58";"3,6";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18572";"3,82";"8,47";"3,59";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18573";"4,02";"7,53";"4,13";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18574";"3,94";"6,67";"3,85";
"201810";"1";"COD926";"CRN-17861";"Login estudiante5409";"3,63";"6,33";"3,84";
"201810";"1";"COD926";"CRN-17861";"Login estudiante16630";"3,85";"6,44";"3,93";
"201810";"1";"COD926";"CRN-17861";"Login estudiante4859";"4,27";"6,5";"4,08";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18575";"4,13";"6,11";"3,56";
"201810";"1";"COD926";"CRN-17861";"Login estudiante3765";"3,75";"7,53";"3,97";
"201810";"1";"COD926";"CRN-17861";"Login estudiante3979";"4,02";"6,61";"3,76";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18576";"3,65";"6,5";"3,62";
"201810";"1";"COD926";"CRN-17861";"Login estudiante12304";"4,16";"4,78";"3,5";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18577";"3,56";"6,5";"3,64";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18578";"3,6";"6,1";"3,52";
"201810";"1";"COD926";"CRN-17861";"Login estudiante3994";"3,76";"5,94";"3,44";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18579";"4,18";"6";"4,19";
"201810";"1";"COD926";"CRN-17861";"Login estudiante3789";"4,03";"7,93";"4,21";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18580";"3,6";"6,78";"3,73";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18581";"3,4";"6,09";"3,29";
"201810";"1";"COD926";"CRN-17861";"Login estudiante12309";"3,88";"6,06";"3,54";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18582";"3,68";"4,83";"3,81";
"201810";"1";"COD926";"CRN-17861";"Login estudiante4912";"3,98";"6,2";"4,05";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18583";"3,36";"6,22";"3,47";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18584";"4,22";"6,72";"4,16";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18585";"3,84";"6,89";"4,1";
"201810";"1";"COD926";"CRN-17861";"Login estudiante10362";"4,28";"6,31";"4,38";
"201810";"1";"COD926";"CRN-17861";"Login estudiante6677";"4,38";"6,06";"4,06";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18586";"3,61";"6,18";"3,82";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18587";"4,1";"6";"4,23";
"201810";"1";"COD926";"CRN-17861";"Login estudiante5289";"4,56";"6,98";"4,16";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18588";"3,93";"0";"3,64";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18589";"3,94";"0";"4,04";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18590";"4,24";"0";"4,28";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18591";"3,95";"0";"3,76";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18592";"4,26";"0";"3,86";
"201810";"1";"COD926";"CRN-17861";"Login estudiante18593";"4,55";"0";"4,66";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18594";"4,21";"9,64";"3,55";
"201810";"1";"COD926";"CRN-17862";"Login estudiante8591";"3,91";"8,58";"3,69";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18595";"3,91";"14,48";"3,63";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18596";"3,91";"11,8";"3,63";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18597";"4,46";"14,07";"3,85";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18598";"4,58";"11,18";"3,45";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12341";"4,4";"8,51";"3,41";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18599";"3,42";"8,29";"3,6";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12261";"4,07";"12,38";"3,67";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18600";"3,64";"8,58";"3,9";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18601";"4,54";"10,38";"3,83";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18602";"4,04";"7,87";"3,53";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18603";"3,87";"11,63";"4,02";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12362";"3,98";"10,62";"3,78";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12364";"4,66";"13,43";"4,37";
"201810";"1";"COD926";"CRN-17862";"Login estudiante11296";"4,61";"10,46";"3,68";
"201810";"1";"COD926";"CRN-17862";"Login estudiante2710";"4,39";"11,07";"3,93";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12369";"4,12";"11,18";"3,83";
"201810";"1";"COD926";"CRN-17862";"Login estudiante2916";"4,53";"10,06";"3,87";
"201810";"1";"COD926";"CRN-17862";"Login estudiante8608";"3,38";"8,76";"3,82";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12375";"4,66";"11,3";"4,26";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18604";"3,71";"8,71";"3,76";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18605";"4,38";"12,69";"4,28";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18606";"4,17";"8,76";"3,9";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12380";"3,83";"8,64";"3,76";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18607";"3,93";"9,65";"3,84";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18608";"3,94";"9,84";"3,75";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12295";"4,4";"8,39";"3,73";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18609";"4,51";"8,2";"3,36";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12388";"4,1";"10,51";"4,14";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18610";"4,66";"9,65";"4,36";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18611";"3,92";"7,93";"3,77";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18612";"3,88";"7,47";"4,04";
"201810";"1";"COD926";"CRN-17862";"Login estudiante16617";"4,14";"8,23";"4";
"201810";"1";"COD926";"CRN-17862";"Login estudiante7355";"4,28";"7,2";"3,95";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18613";"4,01";"7,53";"3,84";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18614";"4,14";"7,22";"3,68";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18615";"4,75";"9,26";"4,33";
"201810";"1";"COD926";"CRN-17862";"Login estudiante4956";"3,95";"9,31";"4,39";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12272";"2,87";"5,86";"3,26";
"201810";"1";"COD926";"CRN-17862";"Login estudiante3911";"4,64";"9,12";"4,09";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18616";"4,23";"7,06";"3,91";
"201810";"1";"COD926";"CRN-17862";"Login estudiante3771";"3,87";"9,45";"4,14";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18617";"4,63";"6,83";"3,76";
"201810";"1";"COD926";"CRN-17862";"Login estudiante6090";"4,06";"7,88";"4,42";
"201810";"1";"COD926";"CRN-17862";"Login estudiante12278";"3,58";"7,19";"4,02";
"201810";"1";"COD926";"CRN-17862";"Login estudiante4016";"4,61";"7,6";"4,03";
"201810";"1";"COD926";"CRN-17862";"Login estudiante4019";"3,96";"7,33";"4,05";
"201810";"1";"COD926";"CRN-17862";"Login estudiante16469";"4,16";"8,24";"3,68";
"201810";"1";"COD926";"CRN-17862";"Login estudiante5277";"3,98";"6,44";"4,15";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18618";"4,55";"4,39";"3,64";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18619";"4,84";"6,94";"4,13";
"201810";"1";"COD926";"CRN-17862";"Login estudiante18620";"4,03";"0";"3,57";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18621";"4,58";"11,82";"4,19";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12260";"4,43";"11,5";"4,02";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12265";"3,4";"8,85";"3,78";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18622";"3,69";"6,06";"3,49";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18571";"2,81";"6,58";"3,6";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12298";"3,04";"5,83";"3,63";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12271";"3,31";"5,17";"3,38";
"201810";"1";"COD868";"CRN-17863";"Login estudiante3978";"3,41";"7,13";"3,91";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12276";"3,94";"4,94";"3,63";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18623";"2,83";"5,56";"3,58";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12309";"2,86";"6,06";"3,54";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18624";"3,09";"4,94";"3,39";
"201810";"1";"COD868";"CRN-17863";"Login estudiante5260";"3,7";"6";"3,8";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18583";"3,18";"6,22";"3,47";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12311";"4,2";"6,45";"4,19";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18618";"3,33";"4,39";"3,64";
"201810";"1";"COD868";"CRN-17863";"Login estudiante5025";"3,82";"5,89";"3,67";
"201810";"1";"COD868";"CRN-17863";"Login estudiante4929";"3,7";"5,17";"3,38";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18625";"3,94";"6,33";"4,07";
"201810";"1";"COD868";"CRN-17863";"Login estudiante6035";"4,32";"5,39";"4,01";
"201810";"1";"COD868";"CRN-17863";"Login estudiante6683";"4,83";"6,11";"4,4";
"201810";"1";"COD868";"CRN-17863";"Login estudiante4935";"3,16";"6,22";"3,67";
"201810";"1";"COD868";"CRN-17863";"Login estudiante12316";"4,44";"6";"4,18";
"201810";"1";"COD868";"CRN-17863";"Login estudiante6260";"2,19";"5,39";"3,82";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18626";"3,7";"0";"4,09";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18627";"2,96";"0";"3,13";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18628";"2,91";"0";"3,42";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18589";"3,05";"0";"4,04";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18629";"3,37";"0";"3,73";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18630";"4,32";"0";"4,17";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18592";"3,59";"0";"3,86";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18631";"3,42";"0";"3,66";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18632";"4,47";"0";"4,26";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18633";"4,63";"0";"3,68";
"201810";"1";"COD868";"CRN-17863";"Login estudiante18593";"4,5";"0";"4,66";
"201810";"1";"COD480";"CRN-17864";"Login estudiante15568";"4,4";"9,78";"4,43";
"201810";"1";"COD480";"CRN-17864";"Login estudiante10424";"4,4";"6,78";"3,35";
"201810";"1";"COD480";"CRN-17864";"Login estudiante18634";"5";"9,98";"3,99";
"201810";"1";"COD480";"CRN-17864";"Login estudiante18635";"5";"10,1";"3,89";
"201810";"1";"COD480";"CRN-17864";"Login estudiante18636";"5";"7,81";"4,16";
"201810";"1";"COD480";"CRN-17864";"Login estudiante18637";"5";"9,86";"4,06";
"201810";"1";"COD480";"CRN-17864";"Login estudiante10501";"4,4";"7,25";"4,11";
"201810";"1";"COD480";"CRN-17864";"Login estudiante3900";"4,6";"7,63";"3,74";
"201810";"1";"COD480";"CRN-17864";"Login estudiante3978";"4,4";"7,13";"3,91";
"201810";"1";"COD480";"CRN-17864";"Login estudiante18638";"4,6";"8,74";"3,98";
"201810";"1";"COD480";"CRN-17864";"Login estudiante18639";"4,6";"8,92";"4";
"201810";"1";"COD480";"CRN-17864";"Login estudiante4621";"4,8";"8,53";"4,21";
"201810";"1";"COD480";"CRN-17864";"Login estudiante18640";"5";"7,18";"4,3";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18641";"2,47";"6,59";"3,96";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18642";"2,26";"6,76";"3,64";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18643";"3,31";"6,63";"3,91";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18644";"3";"5,71";"3,58";
"201810";"1";"COD810";"CRN-17865";"Login estudiante6492";"2,88";"11,28";"3,79";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18645";"2,65";"9,97";"3,73";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18646";"3,09";"5,18";"3,63";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18647";"2,49";"6,4";"3,38";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18648";"2,17";"6,09";"3,57";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18649";"3,84";"3,09";"3,56";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18650";"4,07";"10,72";"4,36";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18651";"2,02";"5,65";"3,7";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18652";"1,76";"5,76";"3,41";
"201810";"1";"COD810";"CRN-17865";"Login estudiante2981";"2,85";"10,21";"4,14";
"201810";"1";"COD810";"CRN-17865";"Login estudiante16664";"1,85";"6";"3,48";
"201810";"1";"COD810";"CRN-17865";"Login estudiante4090";"2,9";"5,53";"3,69";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18653";"2,91";"4,06";"3,79";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18654";"2,68";"6,69";"4,07";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18655";"3,01";"5,06";"3,85";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18656";"3,72";"5,06";"4,24";
"201810";"1";"COD810";"CRN-17865";"Login estudiante10380";"4,22";"6,69";"4,21";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18657";"3,24";"6,29";"3,84";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18658";"3,37";"5,71";"4,29";
"201810";"1";"COD810";"CRN-17865";"Login estudiante7857";"3,41";"5,53";"4,15";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18659";"3,69";"4,84";"4,18";
"201810";"1";"COD810";"CRN-17865";"Login estudiante9915";"3,06";"3,82";"3,9";
"201810";"1";"COD810";"CRN-17865";"Login estudiante6680";"1,97";"4,71";"3,7";
"201810";"1";"COD810";"CRN-17865";"Login estudiante10093";"3,54";"5,53";"4,35";
"201810";"1";"COD810";"CRN-17865";"Login estudiante15413";"3,32";"4,18";"4,13";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18660";"2,8";"3,29";"3,35";
"201810";"1";"COD810";"CRN-17865";"Login estudiante11348";"3,15";"4,65";"3,74";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18661";"3,42";"4,29";"3,74";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18662";"3,42";"4,97";"4,08";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18663";"2,6";"5";"3,6";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18664";"3,09";"4,82";"3,99";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18665";"3,25";"4,18";"4,02";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18666";"4,23";"5,73";"4,43";
"201810";"1";"COD810";"CRN-17865";"Login estudiante7789";"3";"4,34";"3,92";
"201810";"1";"COD810";"CRN-17865";"Login estudiante7869";"4,1";"6,12";"4,48";
"201810";"1";"COD810";"CRN-17865";"Login estudiante14830";"3,06";"3,47";"3,57";
"201810";"1";"COD810";"CRN-17865";"Login estudiante16509";"2,78";"4,94";"3,8";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18667";"3,39";"4,35";"4,27";
"201810";"1";"COD810";"CRN-17865";"Login estudiante7796";"3,45";"5,53";"4,32";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18668";"3,31";"4,71";"3,79";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18669";"2,46";"3,53";"3,3";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18670";"4,14";"5,65";"4,01";
"201810";"1";"COD810";"CRN-17865";"Login estudiante14545";"3,85";"5,65";"4,19";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18671";"2,39";"4,47";"4,06";
"201810";"1";"COD810";"CRN-17865";"Login estudiante9929";"2,86";"4,52";"3,87";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18672";"3,64";"4,41";"4,35";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18673";"3,63";"4,53";"4,23";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18674";"3,72";"4,71";"4,35";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18675";"2,86";"4,18";"3,9";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18676";"3,23";"4,18";"3,93";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18677";"3,82";"5";"4,39";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18678";"3,76";"4,47";"3,99";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18679";"3,87";"4,76";"4,16";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18680";"3,44";"4,53";"4,13";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18681";"2,97";"3,65";"3,69";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18682";"3,53";"4,53";"4,14";
"201810";"1";"COD810";"CRN-17865";"Login estudiante9945";"3,32";"4,47";"3,94";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18683";"3,7";"4,94";"4,27";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18684";"3,78";"4,35";"4,37";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18685";"3,27";"4,76";"3,93";
"201810";"1";"COD810";"CRN-17865";"Login estudiante14117";"3,13";"3,18";"3,46";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18686";"3,72";"4,35";"3,97";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18687";"3,26";"4,35";"4,17";
"201810";"1";"COD810";"CRN-17865";"Login estudiante13971";"3,78";"3,82";"3,73";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18688";"3,11";"3,41";"3,68";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18689";"4,11";"4,88";"4,46";
"201810";"1";"COD810";"CRN-17865";"Login estudiante16571";"3,53";"4,12";"4,22";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18690";"2,45";"3,35";"3,47";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18691";"3,66";"4,24";"4,18";
"201810";"1";"COD810";"CRN-17865";"Login estudiante16549";"3,91";"3";"4,23";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18692";"3,93";"3,47";"4,28";
"201810";"1";"COD810";"CRN-17865";"Login estudiante14571";"2,61";"3,29";"3,31";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18693";"3,17";"2,94";"3,94";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18694";"2,69";"2,86";"3,61";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18695";"4,09";"3,41";"4,15";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18696";"2,92";"2,82";"3,66";
"201810";"1";"COD810";"CRN-17865";"Login estudiante18697";"4,1";"3,24";"4,26";
"201810";"1";"COD810";"CRN-17865";"Login estudiante9603";"2,82";"2,63";"3,38";
"201810";"1";"COD810";"CRN-17865";"Login estudiante13979";"2,62";"3,35";"3,48";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18698";"3,7";"4,32";"3,99";
"201810";"1";"COD163";"CRN-17866";"Login estudiante14713";"4,19";"2,72";"3,78";
"201810";"1";"COD163";"CRN-17866";"Login estudiante4774";"4,72";"11,23";"4,4";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18699";"4,6";"8,8";"4,52";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18700";"4,54";"8,51";"4,08";
"201810";"1";"COD163";"CRN-17866";"Login estudiante10081";"4,04";"9,83";"4,34";
"201810";"1";"COD163";"CRN-17866";"Login estudiante10086";"3,79";"6,11";"3,78";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18701";"4,72";"7";"4,47";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18702";"4,29";"5,99";"4,01";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18703";"3,79";"0,33";"2,46";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18704";"4,35";"4,59";"3,96";
"201810";"1";"COD163";"CRN-17866";"Login estudiante9892";"4,58";"2,92";"4,31";
"201810";"1";"COD163";"CRN-17866";"Login estudiante9586";"4,33";"3,49";"3,96";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18705";"4,16";"1,06";"4,15";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18706";"4,07";"3,36";"3,9";
"201810";"1";"COD163";"CRN-17866";"Login estudiante12726";"4,39";"2,63";"3,68";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18707";"3,96";"3,21";"3,92";
"201810";"1";"COD163";"CRN-17866";"Login estudiante18708";"4,02";"0,83";"3,96";
"201810";"1";"COD163";"CRN-17866";"Login estudiante12765";"4,22";"1,89";"4,19";
