"﻿PERIODO";"CÓDIGO CURSO";"CRN";"RETIROS";"INSCRITOS";
"201810";"COD926";"CRN-17861";"3";"50";
"201810";"COD926";"CRN-17862";"0";"53";
"201810";"COD868";"CRN-17863";"3";"38";
"201810";"COD480";"CRN-17864";"2";"15";
"201810";"COD810";"CRN-17865";"1";"84";
"201810";"COD163";"CRN-17866";"1";"52";
"201810";"COD300";"CRN-17867";"1";"44";
"201810";"COD521";"CRN-17868";"12";"81";
"201810";"COD862";"CRN-17869";"1";"11";
"201810";"COD1685";"CRN-17870";"2";"9";
"201810";"COD1692";"CRN-17871";"3";"25";
"201810";"COD1680";"CRN-17872";"3";"17";
"201810";"COD1671";"CRN-17873";"1";"15";
"201810";"COD17033";"CRN-17874";"5";"68";
"201810";"COD16883";"CRN-17875";"0";"13";
"201810";"COD404";"CRN-17876";"1";"20";
"201810";"COD404";"CRN-17877";"2";"22";
"201810";"COD404";"CRN-17878";"0";"21";
"201810";"COD404";"CRN-17879";"0";"18";
"201810";"COD404";"CRN-17880";"3";"30";
"201810";"COD404";"CRN-17881";"1";"20";
"201810";"COD404";"CRN-17882";"1";"21";
"201810";"COD404";"CRN-17883";"2";"21";
"201810";"COD404";"CRN-17884";"1";"21";
"201810";"COD404";"CRN-17885";"0";"21";
"201810";"COD404";"CRN-17886";"1";"17";
"201810";"COD404";"CRN-17887";"1";"20";
"201810";"COD404";"CRN-17888";"1";"29";
"201810";"COD404";"CRN-17889";"5";"26";
"201810";"COD404";"CRN-17890";"2";"19";
"201810";"COD404";"CRN-17891";"0";"13";
"201810";"COD404";"CRN-17892";"1";"24";
"201810";"COD404";"CRN-17893";"1";"21";
"201810";"COD404";"CRN-17894";"1";"18";
"201810";"COD404";"CRN-17895";"0";"10";
"201810";"COD404";"CRN-17896";"3";"16";
"201810";"COD1574";"CRN-17897";"0";"62";
"201810";"COD1566";"CRN-17898";"2";"13";
"201810";"COD1582";"CRN-17899";"1";"19";
